	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	F_23D_1	F_23D_2	F_23D_3	F_22D_1	F_22D_2	F_22D_3
ENSMUSG00000020493	659.20730699419	-3.3618540814423197	0.103550703267215	2.8963421792715053e-232	5.178949450755381e-228	PRR11	2.10350827664	1.48917393999	1.6351471395299997	16.411645448199998	17.7480768078	18.8728014698
ENSMUSG00000023015	1803.7207512567602	-2.9598233785991	0.0925217602628097	2.4605364103789358e-225	2.1998425776992872e-221	RACGAP1	5.80998614609	5.31661464867	5.27491732249	43.285391493599995	44.151730003699996	38.668942365
ENSMUSG00000036768	583.3497105633239	-3.5737138282417704	0.111951168855085	7.887922516886045e-225	4.701464750814641e-221	KIF15	1.21790261405	1.022316062	0.937457433573	12.0676618676	12.5496735999	12.6680590479
ENSMUSG00000027379	835.68625846167	-3.9272924302158	0.127335850154804	2.008333952409257e-210	8.97775485075748e-207	BUB1	1.75968659491	1.48121304699	1.81695522632	26.0371037781	27.422015470199998	23.4857869313
ENSMUSG00000028678	595.637625714137	-3.54965340847547	0.116607538647589	9.86836442490446e-205	3.5291244856343356e-201	KIF2C	1.91732456297	1.7320379445900005	1.7575096280000002	21.366197506	21.3726698478	20.1361681568
ENSMUSG00000027715	1767.34333318657	-3.90364784695326	0.134934085262939	1.477348365088508e-185	4.402744352691254e-182	CCNA2	4.95494281684	3.71225628847	4.21916508876	63.6675281663	65.4041862692	62.9327719743
ENSMUSG00000037544	575.993979100132	-3.6164611081206	0.12730457209297902	8.834518342331228e-179	2.2567146068460686e-175	DLGAP5	1.2815176138	0.863726145959	1.12320877446	13.0212477291	14.0697194028	12.831117513399999
ENSMUSG00000038943	1271.01915495701	-3.3005663708607202	0.126480331801739	4.061473307001516e-151	9.077900525311749e-148	PRC1	3.48818059952	3.5350457002199995	3.22788166715	32.9460998727	33.5872711622	33.954655754099996
ENSMUSG00000027469	1766.12147271578	-3.40515704276204	0.13382715322325806	6.684820771117954e-144	1.328125335648449e-140	TPX2	4.32760432554	3.5710799897600003	4.24660137245	44.0209271095	44.3879018696	39.8203040698
ENSMUSG00000017861	544.2306480956411	-4.121915888085169	0.162623762026389	1.7479223897005088e-143	3.125460025023476e-140	MYBL2	1.12291186036	0.8856135927850001	1.1653973477	19.844017480799998	19.7661242959	16.0599713849
