EnsemblID	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol
ENSMUSG00000037411	11944.4512066352	2.61412540333551	0.27817069265917105	2.56035742616496e-22	3.74145030685486e-18	SERPINE1
ENSMUSG00000000792	42.1247480501042	-2.63179398184243	0.30521415561822696	2.67711190997668e-19	1.95603181702446e-15	SLC5A5
ENSMUSG00000038624	31.5087009520852	-2.06697265038568	0.271956861714974	1.9261963032558103e-15	7.840249122551009e-12	NEPNP
ENSMUSG00000072620	568.320397281281	2.22535673568139	0.294027242136281	2.4484786491251696e-15	7.840249122551009e-12	SLFN12L
ENSMUSG00000046731	1159.72395692854	2.04054438416684	0.270102066882595	2.68262818126018e-15	7.840249122551009e-12	KCTD11
ENSMUSG00000020439	1082.14160039001	1.88712728705724	0.252013908900126	3.7728237022923104e-15	9.188712126932929e-12	SMTNL2
ENSMUSG00000026712	898.5243447200819	2.24560289289078	0.3110774413942	3.17809940282532e-14	6.63450951049805e-11	MRC2
ENSMUSG00000040035	442.820393644735	1.99743145506385	0.28084208408629197	6.545360719910781e-14	1.1955919525007e-10	DISP2
ENSMUSG00000002565	422.456637197348	-2.08573654879457	0.301588660130989	2.69703476373512e-13	4.3790854447179206e-10	VIL1
ENSMUSG00000060568	249.49325773256402	1.94597768157872	0.283665798352157	3.5678328336626707e-13	5.21367411983125e-10	FAM78B
ENSMUSG00000001588	411.10171386919603	1.9218021566257302	0.29125504088485604	1.97741628355977e-12	2.6269076501508104e-09	ACAP2
ENSMUSG00000004791	556.27170761308	2.37946794620738	0.374538072458255	9.302403251006051e-12	1.13280015589126e-08	PGF
ENSMUSG00000001473	2228.45685786637	1.2288276050358302	0.2010961112322	1.45747457485921e-11	1.6383135355705903e-08	TUBB6
ENSMUSG00000036944	155.81010771379	1.13966367562601	0.18656538282569501	1.69768289958134e-11	1.77201715797016e-08	TMEM71
ENSMUSG00000020407	432.874761434424	1.4496427720116298	0.24215696830358	3.6940230677971597e-11	3.59871727264799e-08	UPP2
ENSMUSG00000010651	148.499426974	1.7356995369274	0.286757400245389	4.41989075913344e-11	4.03674147895106e-08	ACAA1
ENSMUSG00000031538	1475.4655851105	1.24888789107727	0.21113783722099397	4.846213817187221e-11	4.16574838297393e-08	PLAT
ENSMUSG00000036006	445.08432487696604	1.47944248943802	0.249462287385903	5.46204578873922e-11	4.43427083949145e-08	RIPOR2
ENSMUSG00000037447	616.641229521971	0.9069900884938841	0.15071214286776902	7.63811877176586e-11	5.8745173479902305e-08	ARID5A
ENSMUSG00000027977	313.73751850063803	1.9799267328621102	0.34133264618340803	2.6492555127502097e-10	1.93567854039094e-07	NDST4
ENSMUSG00000037762	231.29568254084302	1.2702801584081003	0.23000841921583898	4.86618003186694e-10	3.3861661336034104e-07	SLC16A9
ENSMUSG00000030760	916.762163061075	-0.588972745286301	0.106039836677838	5.30476712431682e-10	3.52357099943826e-07	ACER3
ENSMUSG00000020399	319.735444022289	1.2847253070383602	0.23380014895565	5.6850403591045e-10	3.61197803337365e-07	HAVCR2
ENSMUSG00000024421	778.4252501815871	2.7578910459684103	0.521755457460594	1.2186559910647801e-09	7.420091665595659e-07	LAMA5
ENSMUSG00000048424	257.488993245556	-0.9908542785489429	0.181397270532293	1.28654952170811e-09	7.52013926428823e-07	RANBP3L
ENSMUSG00000038187	478.92383812204804	-0.616792404670091	0.115170302665279	2.02838231002543e-09	1.1400288729385201e-06	BTBD10
ENSMUSG00000005057	49.873891285868396	2.42699737342519	0.45539907050368705	2.62010887804798e-09	1.4180611494413e-06	SH2B2
ENSMUSG00000038365	496.80826685320295	-0.593872833964052	0.113416076893916	2.91545485899232e-09	1.52155506623053e-06	FBXO25
ENSMUSG00000023067	1449.8495229032198	1.34250043729313	0.260316090953355	3.6406039672308004e-09	1.83448778528081e-06	CDKN1A
ENSMUSG00000021636	132.813539910596	-1.31003988124133	0.25641679159791103	4.64238978165928e-09	2.26130806264623e-06	MARVELD2
ENSMUSG00000039497	751.066260784807	0.6806248247300071	0.12924935685259	5.11803410528308e-09	2.4125752380807004e-06	DSEL
ENSMUSG00000025743	585.152774276322	1.57009727831927	0.30637325957635997	5.550377127462479e-09	2.53461440511279e-06	SDC3
ENSMUSG00000071552	154.461853656586	2.55274654899603	0.500965060953234	5.957664850180861e-09	2.63816231683918e-06	TIGIT
ENSMUSG00000079092	1386.28061384586	2.27037855418076	0.442255232178308	8.12822756285371e-09	3.4934643934112197e-06	PRL
ENSMUSG00000037613	1948.1507218554502	1.25067887486921	0.250626614081198	8.6674062056548e-09	3.61876591094953e-06	TNFRSF10D
ENSMUSG00000031910	539.445264499469	1.45219093780191	0.298829346079078	1.77513973280152e-08	7.205588032063499e-06	HAS3
ENSMUSG00000004105	911.920316955867	1.03615825612257	0.211630544070489	2.03215231213374e-08	8.02590317221903e-06	ANGPTL2
ENSMUSG00000033032	310.649348316292	-0.959416139895408	0.194370952385845	2.12272422214105e-08	8.16299185740716e-06	AFAP1L1
ENSMUSG00000028300	326.357387295919	0.7327701793171341	0.146896851060713	2.2785741861410097e-08	8.38817738500989e-06	C9orf72
